DonorID;firstName;lastName;dateOfBirth;Address;phoneNumber;Email;bloodType
1;Kameron ;Courtenay ;26.11.1983;43 Jones Avenue Westminster, MD 21157;01267-745975;Court_Kam@gmail.com;A+
2;Lucia;Bush;22.11.1950;9787 W. Golden Star st. Loxahatchee, FL 33470;07505-849646;luc-the-bush@outlook.com;O+
3;Rowan;Kipling;27.7.1951;89 Riverside St. Bowie, MD 20715;01481-749014;notrowanatkinson@gmail.com;A+
4;Jericho;Alden;2.7.1993;28 Talbot Drive Norcross, GA 30092;07589-875325;jalden@hotmail.com;O+
5;Netta;Matthews;28.12.1992;851 Buckingham Drive Yakima, WA 98908;07520-249742;NettaMatt@gmail.com;O-
6;Shelagh;Edwards;25.1.1945;56 E. Nut Swamp Dr. Easton, PA 18042;01721-801334;thesilentone@outlook.com;O+
7;Sally;Akers;24.1.1976;364 Mammoth Drive Jeffersonville, IN 47130;07459-762315;SallyAkers@gmail.com;A+
8;Shanene;Becket;23.9.1971;7738 Dogwood Street Orange, NJ 07050;01686-303586;catlover71@gmail.com;A-
9;Alesha;Caldwell;7.5.1961;7132 Oklahoma Drive Granville, MI 49418;07430-024648;wrath@gmail.com;A+
10;Denzil;Gladwin;18.4.2002;989 S. Wall St. Scarsdale, NY 10583;01242-250848;DenzilThePenzil@outlook.com;O+
11;Carlyn;Joyce;16.9.1973;8638 King Street Dearborn Heights, MI 48127;07923-749698;pipoy@gmail.com;O+
12;Gladys;Ripley;25.1.1999;86 Dogwood Lane Pueblo, CO 81001;01626-422323;ripleys_believe_or_gladys@hotmail.com;O+
13;Jasmin;Derrickson;2.1.1974;61 Oakland Dr. Stuart, FL 34997;07463-245098;derrickinoakland@outlook.com;O+
14;Chip;Hunter;4.3.1956;83 S. Glenholme Street New Bedford, MA 02740;01507-762762;chip56@gmail.com;O+
15;Preston;Thomas;25.5.1996;388 Marsh Ave. Gainesville, VA 20155;07521-353227;thehorse@gmail.com;B-
16;Shelley;Field;3.10.1989;6 John Ave. East Northport, NY 11731;01502-853086;shelleydarling@hotmail.com;A+
17;Terri;Elder;5.3.1998;1 Mayflower Lane Drexel Hill, PA 19026;07924-650383;territheelder@gmail.com;B+
18;Ermintrude;Tatham;3.2.1948;65 Van Dyke Ave. Indian Trail, NC 28079;01796-526875;ermintrudethegermandude@gmail.com;A+
19;Les;Swallow;25.6.1979;79 Brookside Rd. Bangor, ME 04401;07765-533889;les_swallows@outlook.com;A+
20;Blanche;Henson;3.12.1966;262 Brewery St. Middle Village, NY 11379;01559-500685;tensiontime@gmail.com;O+
